Species.Name,Site
Adenomera sp.,Brazil
Aplastodiscus albofrenatus,Brazil
Aplastodiscus albosignatus,Brazil
Aplastodiscus arildae,Brazil
Aplastodiscus leucopygius,Brazil
Boana albopunctata,Brazil
Boana bischoffi,Brazil
Boana faber,Brazil
Boana pardalis,Brazil
Boana polytaenia,Brazil
Boana prasina,Brazil
Bokermannohyla astartea,Brazil
Bokermannohyla circumdata,Brazil
Bokermannohyla hylax,Brazil
Brachycephalus nodoterga,Brazil
Ceratophrys (Ceratophrys) aurita,Brazil
Crossodactylus dispar dispar,Brazil
Crossodactylus gaudichaudii,Brazil
Cycloramphus boraceiensis,Brazil
Cycloramphus eleutherodactylus,Brazil
Cycloramphus semipalmatus,Brazil
Dendrophryniscus brevipollicatus travassoi,Brazil
Dendropsophus microps,Brazil
Dendropsophus minutus,Brazil
Dendropsophus seniculus,Brazil
Flectonotus ohausi,Brazil
Fritziana fissilis,Brazil
Haddadus binotatus,Brazil
Holoaden luederwaldti,Brazil
Hylodes asper,Brazil
Hylodes goeldii,Brazil
Hylodes phyllodes,Brazil
Ischnocnema guentheri,Brazil
Ischnocnema hoehnei,Brazil
Ischnocnema nigriventris,Brazil
Ischnocnema parva,Brazil
Ischnocnema randorum,Brazil
Ischnocnema spanios,Brazil
Itapotihyla langsdorffii,Brazil
Leptodactylus (Lithodytes) marmoratus,Brazil
Leptodactylus flavopictus,Brazil
Leptodactylus fuscus,Brazil
Leptodactylus latrans,Brazil
Myersiella microps,Brazil
Paratelmatobius gaigeae,Brazil
Phasmahyla cochranae,Brazil
Phrynomedusa appendiculata,Brazil
Phrynomedusa vanzolinii,Brazil
Physalaemus cuvieri,Brazil
Physalaemus franciscae,Brazil
Physalaemus maculiventris,Brazil
Physalaemus moreirae,Brazil
Physalaemus olfersi,Brazil
Proceratophrys boiei,Brazil
Proceratophrys melanopogon,Brazil
Rhinella crucifer,Brazil
Rhinella icterica,Brazil
Scinax brieni,Brazil
Scinax catharinae,Brazil
Scinax crospedospilus,Brazil
Scinax flavoguttatus,Brazil
Scinax hayii,Brazil
Scinax obtriangulatus,Brazil
Scinax perpusillus,Brazil
Scinax x-signatus,Brazil
Sphaenorhynchus platycephalus,Brazil
Thoropa miliaris,Brazil
Thoropa taophora,Brazil
Vitreorana eurygnatha,Brazil
Vitreorana uranoscopa,Brazil
Aplastodiscus albosignatus,Brazil
Aplastodiscus arildae,Brazil
Aplastodiscus leucopygius,Brazil
Boana albomarginata,Brazil
Boana albopunctata,Brazil
Boana faber,Brazil
Boana pardalis,Brazil
Boana sp. (aff. polytaenia),Brazil
Bokermannohyla circumdata,Brazil
Bokermannohyla hylax,Brazil
Brachycephalus pitanga,Brazil
Chiasmocleis cf. atlantica,Brazil
Dendrophrynicus brevipollicatus,Brazil
Dendropsophus elegans,Brazil
Dendropsophus microps,Brazil
Dendropsophus minutus,Brazil
Flectonotus ohausi,Brazil
Gastrotheca (Alainia) microdiscus,Brazil
Haddadus binotatus,Brazil
Hylodes asper,Brazil
Hylodes phyllodes,Brazil
Hylodes sp. (aff. sazimai),Brazil
Ischnocnema cf. randorum,Brazil
Ischnocnema guentheri,Brazil
Ischnocnema parva,Brazil
Leptodactylus furnarius,Brazil
Leptodactylus fuscus,Brazil
Leptodactylus marmoratus,Brazil
Leptodactylos latrans,Brazil
Megaelosia cf. bocainensis,Brazil
Paratelmatobius cf. poecilogaster,Brazil
Phrynomedusa cf. marginata,Brazil
Physalaemus cuvieri,Brazil
Physalaemus olfersii,Brazil
Proceratophrys appendiculata,Brazil
Proceratophrys boiei,Brazil
Proceratophrys melanopogon,Brazil
Rhinella icterica,Brazil
Rhinella ornata,Brazil
Scinax alter,Brazil
Scinax crospedospilus,Brazil
Scinax flavoguttatus,Brazil
Scinax fuscomarginatus,Brazil
Scinax fuscovarius,Brazil
Scinax hayii,Brazil
Scinax sp. (aff. brieni),Brazil
Scinax sp. (aff. obtriangulatus),Brazil
Scinax sp. (aff. perpusillus),Brazil
Vitreorana uranoscopa,Brazil
Rana muscosa,Sierra.Nevada
Rana sierrae,Sierra.Nevada
Hyliola regilla,Sierra.Nevada
Anaxyrus canorus,Sierra.Nevada
Thamnophis elegans,Sierra.Nevada
Anaxyrus boreas,Sierra.Nevada
Thamnophis couchii,Sierra.Nevada
Taricha torosa,Sierra.Nevada
Ambystoma macrodactylum,Sierra.Nevada
Rana draytonii,Sierra.Nevada
Rana catesbeiana,Sierra.Nevada
Thamnophis sirtalis,Sierra.Nevada
Hydromantes platycephalus,Sierra.Nevada
Allobates (Colostethus) talamancae,Panama
Atelopus zeteki/varius,Panama
Incilius (Bufo) coniferus,Panama
Rhaebo (Bufo) haematiticus,Panama
Rhinella (Bufo) alata,Panama
Rhinella (Bufo) marina,Panama
Sachatamia (Centrolene) albomaculata,Panama
Cochranella euknemos,Panama
Cochranella granulosa,Panama
Espadarana (Centrolene) prosoblepon,Panama
Hyalinobatrachium colymbiphyllum,Panama
Hyalinobatrachium chirripoi,Panama
Hyalinobatrachium fleischmanni,Panama
Hyalinobatrachium talamancae,Panama
Hyalinobatrachium vireovittatum,Panama
Sachatamia (Centrolene) ilex,Panama
Teratohyla spinosa,Panama
Andinobates (Dendrobates) minutus,Panama
Colostethus panamensis (inguinalis),Panama
Colostethus pratti,Panama
Dendrobates auratus,Panama
Oophaga vicentei,Panama
Phyllobates lugubris,Panama
Silverstonia (Colostethus) flotator,Panama
Silverstonia (Colostethus) nubicola,Panama
Diasporus quidditus/diastema,Panama
Diasporus vocator,Panama
Craugastor (Eleutherodactylus) bransfordii,Panama
Craugastor (Eleutherodactylus) crassidigitus,Panama
Craugastor (Eleutherodactylus) fitzingeri,Panama
Craugastor (Eleutherodactylus) gollmeri,Panama
Craugastor (Eleutherodactylus) megacephalus,Panama
Craugastor (Eleutherodactylus) noblei,Panama
Craugastor (Eleutherodactylus) puntariolus,Panama
Craugastor (Eleutherodactylus) tabasarae,Panama
Craugastor (Eleutherodactylus) talamancae,Panama
Pristimantis (Eleutherodactylus) caryophyllaceus,Panama
Pristimantis (Eleutherodactylus) cerisinus,Panama
Pristimantis (Eleutherodactylus) cruentus,Panama
Pristimantis (Eleutherodactylus) gaigei,Panama
Pristimantis (Eleutherodactylus) museosus,Panama
Pristimantis (Eleutherodactylus) pardalis,Panama
Pristimantis (Eleutherodactylus) ridens,Panama
Pristimantis (Eleutherodactylus) taeniatus,Panama
Strabomantis (Eleutherodactylus) bufoniformis,Panama
Craugastor (Eleutherodactylus) evanesco,Panama
Craugastor (Eleutherodactylus) longirostris,Panama
Craugastor (Eleutherodactylus) melanostictus,Panama
Pristimantis (Eleutherodactylus) moro,Panama
Gastrotheca cornuta,Panama
Hemiphractus fasciatus,Panama
Agalychnis callidryas,Panama
Anotheca spinosa,Panama
Cruziohyla calcarifer,Panama
Hylomantis (Phylomedusa) lemur,Panama
Hyloscirtus colymba,Panama
Hyloscirtus palmeri,Panama
Hypsiboas rufitelus,Panama
Smiilisca sila,Panama
Smilisca phaeota,Panama
Dendropsophus ebraccatus,Panama
Dendropsophus microcephalus,Panama
Dendropsophus phlebodes,Panama
Ecnomiohyla miliaria,Panama
Ecnomiohyla rabborum,Panama
Hypsiboas rosenbergi,Panama
Scinax boulengeri,Panama
Scinax ruber,Panama
Smilisca sordida,Panama
Trachycephalus (venulosus) typhonius,Panama
Engystomops pustulosus,Panama
Leptodactylus fragilis,Panama
Leptodactylus melanonotus,Panama
Leptodactylus poecilochilus,Panama
Leptodactylus savagei,Panama
Elachistocleis pearsei,Panama
Ctenophryne aterrima,Panama
Lithobates warszewitschii,Panama
Lithobates vaillanti,Panama
Bolitoglossa colonnea,Panama
Bolitoglossa schizodactyla,Panama
Bolitoglossa biseriata,Panama
Bolitoglossa colonnea,Panama
Bolitoglossa striatula,Panama
Oedipina complex,Panama
Oedipina collaris,Panama
Oedipina parvipes,Panama
Caecilia volcani,Panama
Oscaecilia ochrocephala,Panama
Dermophis parviceps,Panama
Ambystoma jeffersonianum,Pennsylvania
Ambystoma maculatum,Pennsylvania
Notophthalmus viridescens,Pennsylvania
Desmognathus fuscus,Pennsylvania
Desmognathus ochrophaeus,Pennsylvania
Eurycea bislineata,Pennsylvania
Eurycea longicauda,Pennsylvania
Gyrinophilus porphyriticus,Pennsylvania
Hemidactylium scutatum,Pennsylvania
Plethodon cinereus,Pennsylvania
Plethodon glutinosus,Pennsylvania
Pseudotriton ruber,Pennsylvania
Hyla chrysoscelis,Pennsylvania
Hyla versicolor,Pennsylvania
Bufo americanus,Pennsylvania
Bufo fowleri,Pennsylvania
Pseudacris crucifer,Pennsylvania
Pseudacris feriarum,Pennsylvania
Pseudacris triseriata,Pennsylvania
Rana catesbeiana,Pennsylvania
Rana clamitans,Pennsylvania
Rana palustris,Pennsylvania
Rana pipiens,Pennsylvania
Rana sylvatica,Pennsylvania
