Species.Name,Site
Adenomera sp.,Brazil
Agalychnis callidryas,Panama
Allobates (Colostethus) talamancae,Panama
Ambystoma jeffersonianum,Pennsylvania
Ambystoma macrodactylum,Sierra.Nevada
Ambystoma maculatum,Pennsylvania
Anaxyrus boreas,Sierra.Nevada
Anaxyrus canorus,Sierra.Nevada
Andinobates (Dendrobates) minutus,Panama
Anotheca spinosa,Panama
Aplastodiscus albofrenatus,Brazil
Aplastodiscus albosignatus,Brazil
Aplastodiscus arildae,Brazil
Aplastodiscus leucopygius,Brazil
Atelopus zeteki,Panama
Atelopus varius,Panama
Boana albomarginata,Brazil
Boana albopunctata,Brazil
Boana bischoffi,Brazil
Boana faber,Brazil
Boana pardalis,Brazil
Boana polytaenia,Brazil
Boana prasina,Brazil
Boana sp. (aff. polytaenia),Brazil
Bokermannohyla astartea,Brazil
Bokermannohyla circumdata,Brazil
Bokermannohyla hylax,Brazil
Bolitoglossa biseriata,Panama
Bolitoglossa colonnea,Panama
Bolitoglossa schizodactyla,Panama
Bolitoglossa striatula,Panama
Brachycephalus nodoterga,Brazil
Brachycephalus pitanga,Brazil
Bufo americanus,Pennsylvania
Bufo fowleri,Pennsylvania
Caecilia volcani,Panama
Ceratophrys (Ceratophrys) aurita,Brazil
Chiasmocleis cf. atlantica,Brazil
Cochranella euknemos,Panama
Cochranella granulosa,Panama
Colostethus panamensis (inguinalis),Panama
Colostethus pratti,Panama
Craugastor (Eleutherodactylus) bransfordii,Panama
Craugastor (Eleutherodactylus) crassidigitus,Panama
Craugastor (Eleutherodactylus) evanesco,Panama
Craugastor (Eleutherodactylus) fitzingeri,Panama
Craugastor (Eleutherodactylus) gollmeri,Panama
Craugastor (Eleutherodactylus) longirostris,Panama
Craugastor (Eleutherodactylus) megacephalus,Panama
Craugastor (Eleutherodactylus) melanostictus,Panama
Craugastor (Eleutherodactylus) noblei,Panama
Craugastor (Eleutherodactylus) puntariolus,Panama
Craugastor (Eleutherodactylus) tabasarae,Panama
Craugastor (Eleutherodactylus) talamancae,Panama
Crossodactylus dispar ,Brazil
Crossodactylus gaudichaudii,Brazil
Cruziohyla calcarifer,Panama
Ctenophryne aterrima,Panama
Cycloramphus boraceiensis,Brazil
Cycloramphus eleutherodactylus,Brazil
Cycloramphus semipalmatus,Brazil
Dendrobates auratus,Panama
Dendrophrynicus brevipollicatus,Brazil
Dendrophryniscus travassoi,Brazil
Dendropsophus ebraccatus,Panama
Dendropsophus elegans,Brazil
Dendropsophus microcephalus,Panama
Dendropsophus microps,Brazil
Dendropsophus microps,Brazil
Dendropsophus minutus,Brazil
Dendropsophus minutus,Brazil
Dendropsophus phlebodes,Panama
Dendropsophus seniculus,Brazil
Dermophis parviceps,Panama
Desmognathus fuscus,Pennsylvania
Desmognathus ochrophaeus,Pennsylvania
Diasporus diastema,Panama
Diasporus quidditus,Panama
Diasporus vocator,Panama
Ecnomiohyla miliaria,Panama
Ecnomiohyla rabborum,Panama
Elachistocleis pearsei,Panama
Engystomops pustulosus,Panama
Espadarana (Centrolene) prosoblepon,Panama
Eurycea bislineata,Pennsylvania
Eurycea longicauda,Pennsylvania
Flectonotus ohausi,Brazil
Fritziana fissilis,Brazil
Gastrotheca (Alainia) microdiscus,Brazil
Gastrotheca cornuta,Panama
Gyrinophilus porphyriticus,Pennsylvania
Haddadus binotatus,Brazil
Hemidactylium scutatum,Pennsylvania
Hemiphractus fasciatus,Panama
Holoaden luederwaldti,Brazil
Hyalinobatrachium chirripoi,Panama
Hyalinobatrachium colymbiphyllum,Panama
Hyalinobatrachium fleischmanni,Panama
Hyalinobatrachium talamancae,Panama
Hyalinobatrachium vireovittatum,Panama
Hydromantes platycephalus,Sierra.Nevada
Hyla chrysoscelis,Pennsylvania
Hyla versicolor,Pennsylvania
Hyliola regilla,Sierra.Nevada
Hylodes asper,Brazil
Hylodes asper,Brazil
Hylodes goeldii,Brazil
Hylodes phyllodes,Brazil
Hylodes phyllodes,Brazil
Hylodes sp. (aff. sazimai),Brazil
Hylomantis (Phylomedusa) lemur,Panama
Hyloscirtus colymba,Panama
Hyloscirtus palmeri,Panama
Hypsiboas rosenbergi,Panama
Hypsiboas rufitelus,Panama
Incilius (Bufo) coniferus,Panama
Ischnocnema cf. randorum,Brazil
Ischnocnema guentheri,Brazil
Ischnocnema guentheri,Brazil
Ischnocnema hoehnei,Brazil
Ischnocnema nigriventris,Brazil
Ischnocnema parva,Brazil
Ischnocnema parva,Brazil
Ischnocnema randorum,Brazil
Ischnocnema spanios,Brazil
Itapotihyla langsdorffii,Brazil
Leptodactylos latrans,Brazil
Leptodactylus (Lithodytes) marmoratus,Brazil
Leptodactylus flavopictus,Brazil
Leptodactylus fragilis,Panama
Leptodactylus furnarius,Brazil
Leptodactylus fuscus,Brazil
Leptodactylus fuscus,Brazil
Leptodactylus latrans,Brazil
Leptodactylus marmoratus,Brazil
Leptodactylus melanonotus,Panama
Leptodactylus poecilochilus,Panama
Leptodactylus savagei,Panama
Lithobates vaillanti,Panama
Lithobates warszewitschii,Panama
Megaelosia cf. bocainensis,Brazil
Myersiella microps,Brazil
Notophthalmus viridescens,Pennsylvania
Oedipina collaris,Panama
Oedipina complex,Panama
Oedipina parvipes,Panama
Oophaga vicentei,Panama
Oscaecilia ochrocephala,Panama
Paratelmatobius cf. poecilogaster,Brazil
Paratelmatobius gaigeae,Brazil
Phasmahyla cochranae,Brazil
Phrynomedusa appendiculata,Brazil
Phrynomedusa cf. marginata,Brazil
Phrynomedusa vanzolinii,Brazil
Phyllobates lugubris,Panama
Physalaemus cuvieri,Brazil
Physalaemus cuvieri,Brazil
Physalaemus franciscae,Brazil
Physalaemus maculiventris,Brazil
Physalaemus moreirae,Brazil
Physalaemus olfersi,Brazil
Physalaemus olfersii,Brazil
Plethodon cinereus,Pennsylvania
Plethodon glutinosus,Pennsylvania
Pristimantis (Eleutherodactylus) caryophyllaceus,Panama
Pristimantis (Eleutherodactylus) cerisinus,Panama
Pristimantis (Eleutherodactylus) cruentus,Panama
Pristimantis (Eleutherodactylus) gaigei,Panama
Pristimantis (Eleutherodactylus) moro,Panama
Pristimantis (Eleutherodactylus) museosus,Panama
Pristimantis (Eleutherodactylus) pardalis,Panama
Pristimantis (Eleutherodactylus) ridens,Panama
Pristimantis (Eleutherodactylus) taeniatus,Panama
Proceratophrys appendiculata,Brazil
Proceratophrys boiei,Brazil
Proceratophrys boiei,Brazil
Proceratophrys melanopogon,Brazil
Proceratophrys melanopogon,Brazil
Pseudacris crucifer,Pennsylvania
Pseudacris feriarum,Pennsylvania
Pseudacris triseriata,Pennsylvania
Pseudotriton ruber,Pennsylvania
Rana catesbeiana,Sierra.Nevada
Rana catesbeiana,Pennsylvania
Rana clamitans,Pennsylvania
Rana draytonii,Sierra.Nevada
Rana muscosa,Sierra.Nevada
Rana palustris,Pennsylvania
Rana pipiens,Pennsylvania
Rana sierrae,Sierra.Nevada
Rana sylvatica,Pennsylvania
Rhaebo (Bufo) haematiticus,Panama
Rhinella (Bufo) alata,Panama
Rhinella (Bufo) marina,Panama
Rhinella crucifer,Brazil
Rhinella icterica,Brazil
Rhinella icterica,Brazil
Rhinella ornata,Brazil
Sachatamia (Centrolene) albomaculata,Panama
Sachatamia (Centrolene) ilex,Panama
Scinax alter,Brazil
Scinax boulengeri,Panama
Scinax brieni,Brazil
Scinax catharinae,Brazil
Scinax crospedospilus,Brazil
Scinax crospedospilus,Brazil
Scinax flavoguttatus,Brazil
Scinax flavoguttatus,Brazil
Scinax fuscomarginatus,Brazil
Scinax fuscovarius,Brazil
Scinax hayii,Brazil
Scinax hayii,Brazil
Scinax obtriangulatus,Brazil
Scinax perpusillus,Brazil
Scinax ruber,Panama
Scinax sp. (aff. brieni),Brazil
Scinax sp. (aff. obtriangulatus),Brazil
Scinax sp. (aff. perpusillus),Brazil
Scinax x-signatus,Brazil
Silverstonia (Colostethus) flotator,Panama
Silverstonia (Colostethus) nubicola,Panama
Smiilisca sila,Panama
Smilisca phaeota,Panama
Smilisca sordida,Panama
Sphaenorhynchus platycephalus,Brazil
Strabomantis (Eleutherodactylus) bufoniformis,Panama
Taricha torosa,Sierra.Nevada
Teratohyla spinosa,Panama
Thamnophis couchii,Sierra.Nevada
