"","fw","rw","sum"
"1",0,106.65,106.65
"2",0,31.4,31.4
"3",0,31.4,31.4
"4",0,NA,NA
"5",30.1,0,30.1
"6",0,31.4,31.4
"7",0,31.4,31.4
"8",0,49.02,49.02
"9",0,7.85,7.85
"10",35.6,25.47,61.07
"11",0,7.85,7.85
"12",30.1,106.65,136.75
"13",0,31.4,31.4
"14",0,0,0
"15",0,0,0
"16",0,25.47,25.47
"17",0,7.85,7.85
"18",35.6,7.85,43.45
"19",35.6,7.85,43.45
"20",35.6,7.85,43.45
"21",0,7.85,7.85
"22",7.85,25.47,33.32
"23",0,49.02,49.02
"24",0,31.4,31.4
"25",7.85,25.47,33.32
"26",7.85,33.32,41.17
"27",7.85,25.47,33.32
"28",0,49.02,49.02
"29",7.85,33.32,41.17
"30",7.85,25.47,33.32
"31",492.45,1752.8,2245.25
"32",492.45,1752.8,2245.25
"33",492.45,1752.8,2245.25
"34",492.45,1752.8,2245.25
"35",7.85,31.4,39.25
"36",0,49.02,49.02
"37",37.95,49.02,86.97
"38",30.1,25.47,55.57
"39",0,106.65,106.65
"40",0,49.02,49.02
"41",0,7.85,7.85
"42",35.6,7.85,43.45
"43",0,15.7,15.7
"44",0,83.1,83.1
"45",131.4,7.85,139.25
"46",0,7.85,7.85
"47",0,7.85,7.85
"48",0,15.7,15.7
"49",0,15.7,15.7
"50",0,15.7,15.7
"51",0,15.7,15.7
"52",0,49.02,49.02
"53",7.85,33.32,41.17
"54",7.85,33.32,41.17
"55",0,49.02,49.02
"56",0,7.85,7.85
"57",0,7.85,7.85
"58",0,7.85,7.85
"59",0,15.7,15.7
"60",0,15.7,15.7
"61",0,107.44,107.44
"62",30.1,15.7,45.8
"63",0,7.85,7.85
"64",35.6,15.7,51.3
"65",7.85,83.1,90.95
"66",7.85,51.8,59.65
"67",0,NA,NA
"68",35.6,7.85,43.45
"69",30.1,25.47,55.57
"70",0,NA,NA
"71",0,33.32,33.32
"72",0,15.7,15.7
"73",0,28.25,28.25
"74",35.6,31.4,67
"75",0,33.32,33.32
"76",0,25.47,25.47
"77",0,83.89,83.89
"78",35.6,7.85,43.45
"79",35.6,7.85,43.45
"80",35.6,7.85,43.45
"81",35.6,7.85,43.45
"82",35.6,7.85,43.45
"83",35.6,7.85,43.45
"84",0,7.85,7.85
"85",0,49.02,49.02
"86",0,NA,NA
"87",0,25.47,25.47
"88",0,49.02,49.02
"89",7.85,91.74,99.59
"90",0,7.85,7.85
"91",0,7.85,7.85
"92",30.1,25.47,55.57
"93",43.45,7.85,51.3
"94",NA,33.32,NA
"95",0,7.85,7.85
"96",0,25.47,25.47
"97",0,31.4,31.4
"98",0,25.47,25.47
"99",0,7.85,7.85
"100",37.95,28.25,66.2
"101",0,7.85,7.85
"102",0,31.4,31.4
"103",0,33.32,33.32
"104",0,49.02,49.02
"105",0,33.32,33.32
"106",0,NA,NA
"107",0,49.02,49.02
"108",0,90.95,90.95
"109",0,31.4,31.4
"110",0,33.32,33.32
"111",0,25.47,25.47
"112",0,25.47,25.47
"113",7.85,25.47,33.32
"114",0,25.47,25.47
"115",0,25.47,25.47
"116",0,25.47,25.47
"117",35.6,7.85,43.45
"118",0,7.85,7.85
"119",37.95,31.4,69.35
"120",0,31.4,31.4
"121",0,31.4,31.4
"122",7.85,49.02,56.87
"123",0,90.95,90.95
"124",7.85,33.32,41.17
"125",37.95,31.4,69.35
"126",0,7.85,7.85
"127",0,75.25,75.25
"128",35.6,7.85,43.45
"129",35.6,7.85,43.45
"130",35.6,7.85,43.45
"131",35.6,7.85,43.45
"132",0,49.02,49.02
"133",0,83.89,83.89
"134",37.95,31.4,69.35
"135",0,7.85,7.85
"136",35.6,7.85,43.45
"137",NA,33.32,NA
"138",7.85,51.8,59.65
"139",35.6,49.02,84.62
"140",7.85,15.7,23.55
"141",7.85,31.4,39.25
"142",NA,NA,NA
"143",35.6,NA,NA
"144",0,15.7,15.7
"145",0,49.02,49.02
"146",0,49.02,49.02
"147",0,7.85,7.85
"148",0,7.85,7.85
"149",0,49.02,49.02
"150",0,7.85,7.85
"151",0,51.8,51.8
"152",30.1,7.85,37.95
"153",35.6,7.85,43.45
"154",7.85,NA,NA
"155",0,NA,NA
"156",0,31.4,31.4
"157",0,124.27,124.27
"158",7.85,49.02,56.87
"159",35.6,15.7,51.3
"160",0,7.85,7.85
"161",7.85,NA,NA
"162",0,NA,NA
"163",0,124.27,124.27
"164",43.45,NA,NA
"165",0,NA,NA
"166",0,7.85,7.85
"167",0,7.85,7.85
"168",0,53,53
"169",0,90.95,90.95
"170",0,7.85,7.85
"171",7.85,7.85,15.7
"172",35.6,31.4,67
"173",35.6,7.85,43.45
"174",35.6,7.85,43.45
"175",35.6,7.85,43.45
"176",0,49.02,49.02
"177",7.85,90.95,98.8
"178",30.1,31.4,61.5
"179",7.85,49.02,56.87
"180",7.85,7.85,15.7
"181",7.85,31.4,39.25
"182",0,31.4,31.4
"183",0,33.32,33.32
"184",0,31.4,31.4
"185",0,31.4,31.4
"186",0,108.57,108.57
"187",0,7.85,7.85
"188",0,25.47,25.47
"189",30.1,0,30.1
"190",30.1,NA,NA
"191",30.1,49.02,79.12
"192",0,53,53
"193",7.85,94.17,102.02
"194",0,31.4,31.4
"195",30.1,31.4,61.5
"196",0,33.32,33.32
"197",0,108.57,108.57
"198",0,33.32,33.32
"199",35.6,25.47,61.07
"200",35.6,25.47,61.07
"201",131.4,7.85,139.25
"202",0,7.85,7.85
"203",0,7.85,7.85
"204",0,15.7,15.7
"205",0,7.85,7.85
"206",7.85,83.1,90.95
"207",0,NA,NA
"208",0,31.4,31.4
"209",0,NA,NA
"210",0,NA,NA
"211",35.6,NA,NA
"212",43.45,15.7,59.15
"213",30.1,NA,NA
"214",30.1,NA,NA
"215",30.1,NA,NA
"216",131.4,31.4,162.8
"217",131.4,31.4,162.8
"218",0,7.85,7.85
"219",30.1,7.85,37.95
"220",0,7.85,7.85
"221",0,7.85,7.85
"222",0,31.4,31.4
"223",0,31.4,31.4
"224",0,7.85,7.85
"225",30.1,25.47,55.57
"226",7.85,31.4,39.25
"227",0,7.85,7.85
"228",0,31.4,31.4
"229",139.25,7.85,147.1
"230",0,31.4,31.4
"231",0,7.85,7.85
"232",7.85,182.69,190.54
"233",0,49.02,49.02
"234",7.85,31.4,39.25
"235",0,194.47,194.47
"236",0,NA,NA
"237",0,15.7,15.7
"238",0,NA,NA
"239",0,31.4,31.4
"240",0,NA,NA
"241",0,7.85,7.85
"242",0,7.85,7.85
"243",35.6,7.85,43.45
"244",0,15.7,15.7
"245",0,106.65,106.65
"246",35.6,25.47,61.07
"247",0,31.4,31.4
"248",0,25.47,25.47
"249",37.95,37.23,75.18
"250",0,33.32,33.32
"251",35.6,83.1,118.7
"252",7.85,28.25,36.1
"253",7.85,129.04,136.89
"254",7.85,33.32,41.17
"255",7.85,33.32,41.17
"256",35.6,7.85,43.45
"257",35.6,7.85,43.45
"258",35.6,7.85,43.45
"259",35.6,7.85,43.45
"260",131.4,15.7,147.1
"261",131.4,15.7,147.1
"262",30.1,NA,NA
"263",35.6,83.1,118.7
